,parcode,trial,fix_item,fix_time
1001,2,117,2,384
1002,2,117,1,477
1004,2,118,2,562
1005,2,118,1,658
1007,2,119,2,429
1008,2,119,1,328
1009,3,0,3,228
1010,3,0,1,808
1011,3,0,2,838
1012,3,0,1,1134
1013,3,0,2,752
1014,3,0,1,443
1015,3,1,3,225
1016,3,1,1,888
1017,3,1,2,1586
1018,3,1,0,390
1019,3,1,1,804
1020,3,1,2,841
1022,3,2,2,215
1023,3,2,1,950
1024,3,2,2,1142
1025,3,2,1,1880
1026,3,3,3,237
1027,3,3,1,806
1028,3,3,2,1248
1029,3,3,1,654
1030,3,4,3,267
1031,3,4,1,830
1032,3,4,2,582
1033,3,4,0,580
1034,3,4,1,708
1035,3,4,2,587
1036,3,5,3,216
1037,3,5,1,1062
1038,3,5,2,1760
1039,3,5,1,2124
1040,3,5,2,629
1042,3,6,2,630
1043,3,7,3,258
1044,3,7,2,1418
1045,3,7,1,1388
1046,3,7,2,352
1047,3,7,1,399
1049,3,8,2,1157
1050,3,8,1,674
1051,3,8,0,86
1052,3,8,1,250
1053,3,8,2,318
1054,3,8,1,194
1055,3,8,2,760
1056,3,8,1,862
1057,3,8,2,1027
1058,3,9,3,222
1059,3,9,1,128
1060,3,9,2,186
1061,3,9,1,154
1062,3,9,2,1036
1063,3,9,1,1106
1064,3,9,0,586
1065,3,9,2,2194
1066,3,9,1,576
1067,3,9,0,216
1068,3,10,3,221
1069,3,10,1,748
1070,3,10,2,652
1071,3,10,1,431
1072,3,11,3,206
1073,3,11,1,1126
1074,3,11,2,1250
1075,3,11,1,1878
1076,3,11,2,652
1077,3,12,3,209
1078,3,12,1,800
1079,3,12,2,874
1080,3,12,0,412
1081,3,12,1,474
1083,3,13,2,1374
1084,3,13,1,1164
1085,3,13,2,668
1086,3,13,0,320
1088,3,14,2,220
1089,3,14,1,984
1090,3,14,2,2354
1091,3,14,1,776
1092,3,14,2,792
1093,3,14,0,358
1094,3,14,2,320
1095,3,14,0,533
1096,3,15,3,193
1097,3,15,1,1338
1098,3,15,2,596
1099,3,15,0,164
1100,3,15,1,364
1101,3,16,3,217
1102,3,16,1,860
1103,3,16,2,1308
1105,3,17,1,55
1106,3,17,0,124
1107,3,17,1,632
1108,3,17,2,1088
1110,3,18,2,718
1111,3,18,1,618
1112,3,18,0,232
1113,3,18,2,597
1114,3,19,3,15
1115,3,19,1,756
1116,3,19,2,816
1117,3,19,0,424
1118,3,20,3,191
1119,3,20,1,980
1120,3,20,2,1012
1121,3,20,1,1688
1122,3,20,2,672
1123,3,21,3,5
1124,3,21,2,890
1125,3,21,1,560
1126,3,21,0,518
1127,3,21,1,106
1128,3,21,2,598
1129,3,21,1,427
1130,3,22,3,218
1131,3,22,1,1660
1132,3,22,2,1479
1133,3,23,3,221
1134,3,23,1,854
1135,3,23,2,1170
1136,3,23,1,424
1137,3,24,3,394
1138,3,24,1,862
1139,3,24,2,746
1140,3,24,1,774
1141,3,24,2,356
1142,3,25,3,167
1143,3,25,2,1010
1144,3,25,1,1218
1145,3,25,0,294
1146,3,25,2,1876
1147,3,25,1,3484
1148,3,25,2,505
1150,3,26,2,1289
1151,3,26,0,174
1152,3,26,1,714
1153,3,26,2,880
1154,3,26,0,490
1155,3,26,1,700
1157,3,27,2,1291
1158,3,27,0,210
1159,3,27,1,1154
1160,3,27,2,448
1161,3,27,1,524
1162,3,27,0,472
1163,3,27,2,272
1164,3,27,1,546
1165,3,28,3,14
1166,3,28,2,1450
1167,3,28,1,1004
1168,3,28,2,1022
1169,3,28,1,668
1170,3,28,0,320
1171,3,28,2,562
1173,3,29,2,981
1174,3,29,1,964
1175,3,29,2,440
1176,3,30,3,257
1177,3,30,1,1168
1178,3,30,2,580
1179,3,30,1,408
1180,3,31,3,188
1181,3,31,0,48
1182,3,31,1,696
1183,3,31,2,1024
1184,3,31,1,503
1186,3,32,2,1405
1187,3,32,1,1526
1188,3,32,2,900
1189,3,32,0,86
1190,3,32,1,360
1191,3,33,3,148
1192,3,33,1,988
1193,3,33,2,934
1194,3,33,1,874
1195,3,33,2,727
1197,3,34,2,738
1198,3,34,1,688
1199,3,34,2,440
1200,3,35,3,228
1201,3,35,1,644
1202,3,35,2,914
1203,3,35,1,554
1205,3,36,2,1264
1206,3,36,1,1064
1207,3,36,2,540
1208,3,36,1,758
1209,3,36,2,692
1210,3,36,1,433
1211,3,37,3,209
1212,3,37,1,1338
1213,3,37,2,1124
1214,3,37,1,1180
1215,3,37,2,1334
1216,3,38,3,197
1217,3,38,2,150
1218,3,38,1,668
1219,3,38,2,608
1220,3,38,1,450
1221,3,39,3,296
1222,3,39,1,364
1223,3,39,2,758
1224,3,39,1,613
1226,3,40,1,768
1227,3,40,2,642
1228,3,40,1,554
1229,3,41,3,172
1230,3,41,1,104
1231,3,41,2,148
1232,3,41,1,582
1233,3,41,2,1317
1234,3,42,3,328
1235,3,42,1,990
1236,3,42,2,1494
1237,3,43,3,164
1238,3,43,1,522
1239,3,43,2,1539
