,LVal,RVal,AbsDVal,TotVal,AbsDEv,RTsim,Correct_sim,Choice_sim,Conf_human,zConf_human
2667,0.0,0.0,0.0,0.0,0.3732530092941383,3963.0,0,1.0,44,-0.8598034331024516
2668,0.35,3.0,2.65,3.35,0.26721846993053355,1415.0,1,1.0,96,1.0213934191273164
2669,0.95,1.95,1.0,2.9,0.29301960829602425,1470.0,1,1.0,70,0.08079499301243237
2670,0.35,1.1,0.7500000000000001,1.4500000000000002,0.40322766534475707,4291.0,1,1.0,36,-1.1492183334454928
2671,1.7,1.25,0.44999999999999996,2.95,1.414897013650201,2012.0,1,0.0,26,-1.5109869588742944
2672,0.2,1.25,1.05,1.45,1.0516023492907742,1071.0,1,1.0,64,-0.13626618224484854
2673,2.75,2.15,0.6000000000000001,4.9,0.9340217441432082,829.0,1,0.0,82,0.5149173435269943
2674,0.95,0.65,0.29999999999999993,1.6,0.9872942951908926,4218.0,1,0.0,42,-0.932157158188212
2675,2.6,2.0,0.6000000000000001,4.6,0.1996055826852947,3190.0,0,1.0,38,-1.0768646083597324
2676,0.35,0.5,0.15000000000000002,0.85,0.241513974009265,1464.0,1,1.0,72,0.15314871809819267
2677,0.0,2.75,2.75,2.75,1.1752017444388034,2004.0,1,1.0,98,1.0937471442130766
2678,0.5,0.65,0.15000000000000002,1.15,0.6638289143459973,1104.0,1,1.0,88,0.7319785187842751
2679,1.1,2.3,1.1999999999999997,3.4,1.5300350213546605,1097.0,1,1.0,52,-0.5703885327594104
2680,1.95,0.95,1.0,2.9,1.1281264459736362,2264.0,1,0.0,88,0.7319785187842751
2681,1.95,0.2,1.75,2.15,1.5985108978866296,2692.0,1,0.0,86,0.6596247936985148
2682,2.0,0.0,2.0,2.0,1.1205272719455426,2321.0,1,0.0,100,1.1661008692988368
2683,0.35,2.85,2.5,3.2,1.2468638498395364,2075.0,1,1.0,80,0.4425636184412339
2684,0.0,0.0,0.0,0.0,0.10253229765459004,2877.0,0,0.0,50,-0.6427422578451707
2685,0.35,0.5,0.15000000000000002,0.85,0.33865444048570004,4795.0,0,0.0,24,-1.5833406839600546
2686,0.2,0.2,0.0,0.4,0.9237569892077,2085.0,0,0.0,22,-1.6556944090458148
2687,0.35,1.25,0.9,1.6,0.16784702356946235,2232.0,1,1.0,68,0.00844126792667207
2688,2.15,0.0,2.15,2.15,0.8584485498747894,959.0,1,0.0,94,0.949039694041556
2689,0.05,2.75,2.7,2.8,1.1890218981811076,3023.0,1,1.0,78,0.3702098933554736
2690,2.6,0.5,2.1,3.1,0.8366237455868193,1852.0,1,0.0,76,0.2978561682697133
2691,0.35,1.25,0.9,1.6,0.7730059630728733,3194.0,1,1.0,82,0.5149173435269943
2692,2.9,1.1,1.7999999999999998,4.0,0.6779971113537306,1275.0,1,0.0,100,1.1661008692988368
2693,0.2,0.05,0.15000000000000002,0.25,0.6213281761370181,2201.0,1,0.0,38,-1.0768646083597324
2694,0.5,2.6,2.1,3.1,1.0385748141817097,2602.0,1,1.0,84,0.5872710686127545
2695,2.75,0.0,2.75,2.75,0.5735790755748476,1285.0,1,0.0,74,0.22550244318395304
2696,2.0,2.6,0.6000000000000001,4.6,0.549507827530798,1705.0,0,0.0,10,-2.0898167595603767
2697,0.0,0.65,0.65,0.65,0.7497938945474811,2198.0,1,1.0,86,0.6596247936985148
2698,0.0,0.0,0.0,0.0,1.3688779142332432,1052.0,0,0.0,10,-2.0898167595603767
2699,0.2,1.1,0.9000000000000001,1.3,0.256904621011668,2340.0,1,1.0,80,0.4425636184412339
2700,0.0,2.3,2.3,2.3,1.247348631619463,1408.0,1,1.0,96,1.0213934191273164
2701,0.0,0.5,0.5,0.5,0.5758494539619582,2579.0,1,1.0,50,-0.6427422578451707
2702,0.65,2.3,1.65,2.9499999999999997,0.2139357233239506,2753.0,0,0.0,70,0.08079499301243237
2703,0.0,2.15,2.15,2.15,0.541027391353895,1123.0,1,1.0,100,1.1661008692988368
2704,3.0,0.35,2.65,3.35,1.0128111465518215,808.0,1,0.0,100,1.1661008692988368
2705,2.9,0.5,2.4,3.4,1.636562047964468,2328.0,1,0.0,94,0.949039694041556
2706,2.3,0.95,1.3499999999999999,3.25,0.15652078736682307,1749.0,0,1.0,70,0.08079499301243237
2707,0.5,1.7,1.2,2.2,0.6050737519393865,907.0,1,1.0,36,-1.1492183334454928
2708,0.0,0.65,0.65,0.65,0.8415274775463963,2270.0,1,1.0,48,-0.7150959829309309
2709,2.6,2.75,0.1499999999999999,5.35,0.3543260948247472,1556.0,0,0.0,76,0.2978561682697133
2710,1.1,0.65,0.45000000000000007,1.75,0.5753788117952281,2962.0,0,1.0,42,-0.932157158188212
2711,0.0,0.35,0.35,0.35,0.7460311973743915,1689.0,1,1.0,82,0.5149173435269943
2712,1.25,1.7,0.44999999999999996,2.95,0.9328179062263179,1883.0,1,1.0,78,0.3702098933554736
2713,1.1,1.4,0.2999999999999998,2.5,0.13994779730509765,4212.0,1,1.0,68,0.00844126792667207
2714,2.15,2.75,0.6000000000000001,4.9,0.9100071201096496,2279.0,0,0.0,88,0.7319785187842751
2715,1.25,2.15,0.8999999999999999,3.4,1.1635780135206486,1028.0,1,1.0,100,1.1661008692988368
2716,2.15,0.5,1.65,2.65,1.1820582542647249,1346.0,1,0.0,92,0.8766859689557958
2717,1.25,0.2,1.05,1.45,0.4628724735531565,1732.0,1,0.0,68,0.00844126792667207
2718,2.3,2.85,0.5500000000000003,5.15,0.7717076448771272,1237.0,1,1.0,76,0.2978561682697133
2719,0.0,0.35,0.35,0.35,0.30670452858009034,1378.0,1,1.0,72,0.15314871809819267
2720,0.35,0.0,0.35,0.35,0.25779682037400087,2409.0,0,1.0,92,0.8766859689557958
2721,0.5,0.95,0.44999999999999996,1.45,0.13306573833707325,3514.0,1,1.0,84,0.5872710686127545
2722,0.0,1.1,1.1,1.1,0.9936672153486449,1514.0,1,1.0,88,0.7319785187842751
2723,1.25,1.1,0.1499999999999999,2.35,1.3973049899264867,669.0,0,1.0,82,0.5149173435269943
2724,2.75,2.6,0.1499999999999999,5.35,1.0391020953137415,2849.0,0,1.0,96,1.0213934191273164
2725,0.0,3.0,3.0,3.0,1.2052647118727546,1183.0,1,1.0,88,0.7319785187842751
2726,0.65,1.1,0.45000000000000007,1.75,0.7159836739970059,1956.0,1,1.0,100,1.1661008692988368
2727,2.15,1.25,0.8999999999999999,3.4,1.9032128818074425,3750.0,1,0.0,90,0.8043322438700354
2728,2.3,3.0,0.7000000000000002,5.3,0.6712959327946458,993.0,0,0.0,68,0.00844126792667207
2729,0.65,0.5,0.15000000000000002,1.15,0.6240382947066246,1475.0,0,1.0,90,0.8043322438700354
2730,2.3,0.0,2.3,2.3,0.6069751197284529,2456.0,1,0.0,98,1.0937471442130766
2731,2.85,2.3,0.5500000000000003,5.15,0.4389185521042117,2259.0,1,0.0,88,0.7319785187842751
2732,2.3,1.1,1.1999999999999997,3.4,0.6749982340437305,1530.0,1,0.0,50,-0.6427422578451707
2733,0.5,0.35,0.15000000000000002,0.85,0.768666949247246,891.0,0,1.0,88,0.7319785187842751
2734,0.35,0.0,0.35,0.35,0.8328291833466023,4018.0,1,0.0,50,-0.6427422578451707
2735,3.0,2.0,1.0,5.0,0.6533973587293909,1380.0,1,0.0,100,1.1661008692988368
2736,2.3,0.65,1.65,2.9499999999999997,0.36562940930118015,1295.0,1,0.0,72,0.15314871809819267
2737,0.0,2.15,2.15,2.15,0.952226112739725,2437.0,1,1.0,98,1.0937471442130766
2738,2.85,0.35,2.5,3.2,0.7203499623925776,1616.0,1,0.0,76,0.2978561682697133
2739,0.0,0.95,0.95,0.95,0.9467815138487184,1812.0,1,1.0,84,0.5872710686127545
2740,1.7,0.5,1.2,2.2,0.7142373488170781,5697.0,1,0.0,88,0.7319785187842751
2741,1.1,0.35,0.7500000000000001,1.4500000000000002,0.5659770469264223,3714.0,1,0.0,64,-0.13626618224484854
2742,2.15,0.0,2.15,2.15,0.886092737301222,1169.0,1,0.0,96,1.0213934191273164
2743,1.1,2.9,1.7999999999999998,4.0,0.8067091261588011,1977.0,1,1.0,100,1.1661008692988368
2744,0.05,2.0,1.95,2.05,0.04338905383771918,2437.0,1,1.0,74,0.22550244318395304
2745,0.2,0.2,0.0,0.4,0.09124567495622704,5448.0,0,0.0,40,-1.0045108832739722
2746,2.75,0.0,2.75,2.75,0.9226169031683866,1373.0,1,0.0,66,-0.06391245715908822
2747,2.75,0.05,2.7,2.8,0.6229263244084369,1126.0,1,0.0,82,0.5149173435269943
2748,0.65,0.95,0.29999999999999993,1.6,0.6358450207956006,1682.0,1,1.0,74,0.22550244318395304
2749,2.6,0.5,2.1,3.1,1.0111070232636545,1260.0,1,0.0,94,0.949039694041556
2750,0.95,2.3,1.3499999999999999,3.25,1.0161265994793538,1748.0,1,1.0,80,0.4425636184412339
2751,1.4,1.1,0.2999999999999998,2.5,0.5283123497941418,2044.0,0,1.0,92,0.8766859689557958
2752,0.5,0.0,0.5,0.5,0.4253382864372962,3520.0,0,1.0,96,1.0213934191273164
2753,2.15,2.75,0.6000000000000001,4.9,0.15819910170526086,3076.0,0,0.0,88,0.7319785187842751
2754,0.0,2.3,2.3,2.3,1.202680986833277,2039.0,1,1.0,74,0.22550244318395304
2755,0.5,2.15,1.65,2.65,1.020758293792827,1798.0,1,1.0,98,1.0937471442130766
2756,1.4,0.0,1.4,1.4,1.0549217928306003,1776.0,1,0.0,92,0.8766859689557958
2757,0.0,0.0,0.0,0.0,0.5364683653392077,2834.0,0,0.0,24,-1.5833406839600546
2758,0.05,0.35,0.3,0.39999999999999997,0.17140709394703058,2239.0,0,0.0,68,0.00844126792667207
2759,0.5,0.35,0.15000000000000002,0.85,0.11118371233776159,1803.0,1,0.0,94,0.949039694041556
2760,0.95,0.0,0.95,0.95,0.7167736138633893,1214.0,1,0.0,84,0.5872710686127545
2761,1.1,0.0,1.1,1.1,0.8325691138997233,4500.0,1,0.0,94,0.949039694041556
